index, url
1, https://www.livemint.com/technology/gadgets/top-5-best-water-purifiers-in-india-2025-ideal-for-indian-homes-battling-hard-water-and-impurities-for-safe-drinking-11748061235456.html
2, https://alkinwater.co.in/top-10-water-purifiers-in-india/
3, https://www.aosmithindia.com/product-category/water-purifier/ro/?srsltid=AfmBOorrmADv5zyVaWjIN1CrtIWNPBuchfIEu6Ay0jpzi8O2K-Y_jooy
